ledger_entry	requirement	classification	applicability	parent_test_id	case_id	oracle_id	certification_impact
0143	Standard media-change read-only behavior	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0143	OR-0143	A FAIL defeats baseline certification; BLOCKED prevents certification.
0144	FCB drive code zero uses current disk	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0144	OR-0144	A FAIL defeats baseline certification; BLOCKED prevents certification.
0145	Explicit FCB drive selection	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0145	OR-0145	A FAIL defeats baseline certification; BLOCKED prevents certification.
0146	Explicit FCB selection does not permanently change current disk	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0146	OR-0146	A FAIL defeats baseline certification; BLOCKED prevents certification.
0147	Function 24 login vector result	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0147	OR-0147	A FAIL defeats baseline certification; BLOCKED prevents certification.
0148	Login vector bit mapping	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0148	OR-0148	A FAIL defeats baseline certification; BLOCKED prevents certification.
0149	Login bit meaning	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0149	OR-0149	A FAIL defeats baseline certification; BLOCKED prevents certification.
0150	Function 25 current disk result	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0150	OR-0150	A FAIL defeats baseline certification; BLOCKED prevents certification.
0151	Function 14 invalid-drive result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0151	OR-0151	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0152	Function 13/14 synchronization of page-zero 0004h	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-STATE-002	BDOS-STATE-002-P0152	OR-0152	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0153	DRI private disk-state implementation	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-STATE-002	BDOS-STATE-002-P0153	OR-0153	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0154	Unavailable-drive presentation	PROFILE REQUIRED	the Interactive DRI error profile	BDOS-STATE-002	BDOS-STATE-002-P0154	OR-0154	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0155	Function 13 user-number preservation	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0155	OR-0155	A FAIL defeats baseline certification; BLOCKED prevents certification.
0156	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0156	OR-0156	A FAIL defeats baseline certification; BLOCKED prevents certification.
0157	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0157	OR-0157	A FAIL defeats baseline certification; BLOCKED prevents certification.
0158	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0158	OR-0158	A FAIL defeats baseline certification; BLOCKED prevents certification.
0159	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0159	OR-0159	A FAIL defeats baseline certification; BLOCKED prevents certification.
0160	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0160	OR-0160	A FAIL defeats baseline certification; BLOCKED prevents certification.
0161	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0161	OR-0161	A FAIL defeats baseline certification; BLOCKED prevents certification.
0162	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0162	OR-0162	A FAIL defeats baseline certification; BLOCKED prevents certification.
0163	Investigation 008 finding	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0163	OR-0163	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0164	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0164	OR-0164	A FAIL defeats baseline certification; BLOCKED prevents certification.
0165	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0165	OR-0165	A FAIL defeats baseline certification; BLOCKED prevents certification.
0166	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0166	OR-0166	A FAIL defeats baseline certification; BLOCKED prevents certification.
0167	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0167	OR-0167	A FAIL defeats baseline certification; BLOCKED prevents certification.
0168	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0168	OR-0168	A FAIL defeats baseline certification; BLOCKED prevents certification.
0169	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0169	OR-0169	A FAIL defeats baseline certification; BLOCKED prevents certification.
0170	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0170	OR-0170	A FAIL defeats baseline certification; BLOCKED prevents certification.
0171	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0171	OR-0171	A FAIL defeats baseline certification; BLOCKED prevents certification.
0172	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0172	OR-0172	A FAIL defeats baseline certification; BLOCKED prevents certification.
0173	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0173	OR-0173	A FAIL defeats baseline certification; BLOCKED prevents certification.
0174	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0174	OR-0174	A FAIL defeats baseline certification; BLOCKED prevents certification.
0175	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0175	OR-0175	A FAIL defeats baseline certification; BLOCKED prevents certification.
0176	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0176	OR-0176	A FAIL defeats baseline certification; BLOCKED prevents certification.
0177	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0177	OR-0177	A FAIL defeats baseline certification; BLOCKED prevents certification.
0178	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0178	OR-0178	A FAIL defeats baseline certification; BLOCKED prevents certification.
0179	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0179	OR-0179	A FAIL defeats baseline certification; BLOCKED prevents certification.
0180	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0180	OR-0180	A FAIL defeats baseline certification; BLOCKED prevents certification.
0181	Investigation 008 finding	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0181	OR-0181	A FAIL defeats baseline certification; BLOCKED prevents certification.
0182	Investigation 008 finding	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0182	OR-0182	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0183	Investigation 008 finding	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-001	BDOS-FILE-001-P0183	OR-0183	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0184	Investigation 008 finding	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-002	BDOS-FILE-002-P0184	OR-0184	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0185	Investigation 008 finding	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-001	BDOS-FILE-001-P0185	OR-0185	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0186	Investigation 008 finding	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-002	BDOS-FILE-002-P0186	OR-0186	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0187	Investigation 008 finding	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-STATE-003	BDOS-STATE-003-P0187	OR-0187	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0188	Search First call convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0188	OR-0188	A FAIL defeats baseline certification; BLOCKED prevents certification.
0189	Search First initial directory scan position	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0189	OR-0189	A FAIL defeats baseline certification; BLOCKED prevents certification.
0190	Search First successful result code	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0190	OR-0190	A FAIL defeats baseline certification; BLOCKED prevents certification.
0191	Search First unsuccessful result code	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0191	OR-0191	A FAIL defeats baseline certification; BLOCKED prevents certification.
0192	Search First DMA record transfer	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0192	OR-0192	A FAIL defeats baseline certification; BLOCKED prevents certification.
0193	Search result entry offset	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0193	OR-0193	A FAIL defeats baseline certification; BLOCKED prevents certification.
0194	Search transfer record layout	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0194	OR-0194	A FAIL defeats baseline certification; BLOCKED prevents certification.
0195	Directory entry user number	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0195	OR-0195	A FAIL defeats baseline certification; BLOCKED prevents certification.
0196	Directory entry FCB field layout	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0196	OR-0196	A FAIL defeats baseline certification; BLOCKED prevents certification.
0197	Search wildcard matching	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0197	OR-0197	A FAIL defeats baseline certification; BLOCKED prevents certification.
0198	Type attribute comparison	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0198	OR-0198	A FAIL defeats baseline certification; BLOCKED prevents certification.
0199	Default-drive FCB search	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0199	OR-0199	A FAIL defeats baseline certification; BLOCKED prevents certification.
0200	Explicit-drive search	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0200	OR-0200	A FAIL defeats baseline certification; BLOCKED prevents certification.
0201	Search First S2 handling	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0201	OR-0201	A FAIL defeats baseline certification; BLOCKED prevents certification.
0202	All-user search wildcard drive	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0202	OR-0202	A FAIL defeats baseline certification; BLOCKED prevents certification.
0203	Search Next call convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0203	OR-0203	A FAIL defeats baseline certification; BLOCKED prevents certification.
0204	Search Next continuation semantics	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0204	OR-0204	A FAIL defeats baseline certification; BLOCKED prevents certification.
0205	Search Next result and DMA relationship	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0205	OR-0205	A FAIL defeats baseline certification; BLOCKED prevents certification.
0206	Search Next unsuccessful result code	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0206	OR-0206	A FAIL defeats baseline certification; BLOCKED prevents certification.
0207	Search First restart behavior	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0207	OR-0207	A FAIL defeats baseline certification; BLOCKED prevents certification.
0208	Set DMA Address call convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0208	OR-0208	A FAIL defeats baseline certification; BLOCKED prevents certification.
0209	DMA address persistence	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0209	OR-0209	A FAIL defeats baseline certification; BLOCKED prevents certification.
0210	DMA change during search continuation	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0210	OR-0210	A FAIL defeats baseline certification; BLOCKED prevents certification.
0211	Directory enumeration order	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0211	OR-0211	A FAIL defeats baseline certification; BLOCKED prevents certification.
0212	Repeat-search ordering stability	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0212	OR-0212	A FAIL defeats baseline certification; BLOCKED prevents certification.
0213	Enumeration ordering guarantee limitation	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0213	OR-0213	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0214	Default-drive continuation limitation	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0214	OR-0214	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0215	Search continuation state limitation	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-STATE-003	BDOS-STATE-003-P0215	OR-0215	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0216	Failed-search DMA contents	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-003	BDOS-FILE-003-P0216	OR-0216	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0217	DRI FFh-path directory copy	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-STATE-003	BDOS-STATE-003-P0217	OR-0217	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0218	DRI private search implementation	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-004	BDOS-FILE-004-P0218	OR-0218	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0219	Function 20 call convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0219	OR-0219	A FAIL defeats baseline certification; BLOCKED prevents certification.
0220	Activated-FCB precondition	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0220	OR-0220	A FAIL defeats baseline certification; BLOCKED prevents certification.
0221	Sequential position source	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0221	OR-0221	A FAIL defeats baseline certification; BLOCKED prevents certification.
0222	Successful result	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0222	OR-0222	A FAIL defeats baseline certification; BLOCKED prevents certification.
0223	Successful transfer size	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0223	OR-0223	A FAIL defeats baseline certification; BLOCKED prevents certification.
0224	Current DMA destination	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0224	OR-0224	A FAIL defeats baseline certification; BLOCKED prevents certification.
0225	Partial-byte count	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0225	OR-0225	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0226	Advance after success	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0226	OR-0226	A FAIL defeats baseline certification; BLOCKED prevents certification.
0227	CR progression within an extent	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0227	OR-0227	A FAIL defeats baseline certification; BLOCKED prevents certification.
0228	Full-extent position	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0228	OR-0228	A FAIL defeats baseline certification; BLOCKED prevents certification.
0229	Automatic extent transition	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0229	OR-0229	A FAIL defeats baseline certification; BLOCKED prevents certification.
0230	New-extent first-record state	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0230	OR-0230	A FAIL defeats baseline certification; BLOCKED prevents certification.
0231	Extent working-state replacement	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0231	OR-0231	A FAIL defeats baseline certification; BLOCKED prevents certification.
0232	EOF/no-data result	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0232	OR-0232	A FAIL defeats baseline certification; BLOCKED prevents certification.
0233	Exact EOF code	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0233	OR-0233	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0234	Empty-file behavior	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0234	OR-0234	A FAIL defeats baseline certification; BLOCKED prevents certification.
0235	Partial-final-extent EOF	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0235	OR-0235	A FAIL defeats baseline certification; BLOCKED prevents certification.
0236	Exact-boundary EOF	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0236	OR-0236	A FAIL defeats baseline certification; BLOCKED prevents certification.
0237	Repeated EOF indication	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0237	OR-0237	A FAIL defeats baseline certification; BLOCKED prevents certification.
0238	DMA contents after failure	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0238	OR-0238	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0239	FCB mutation	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0239	OR-0239	A FAIL defeats baseline certification; BLOCKED prevents certification.
0240	Exact FCB image after failed read	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0240	OR-0240	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0241	DRI exact-boundary EX drift	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-004	BDOS-FILE-004-P0241	OR-0241	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0242	Explicit-drive read	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0242	OR-0242	A FAIL defeats baseline certification; BLOCKED prevents certification.
0243	Read-only readability	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0243	OR-0243	A FAIL defeats baseline certification; BLOCKED prevents certification.
0244	Unopened-FCB result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0244	OR-0244	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0245	Invalid-FCB result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-004	BDOS-FILE-004-P0245	OR-0245	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0246	Physical read-error presentation	PROFILE REQUIRED	the Interactive CP/M disk-error profile	BDOS-FILE-004	BDOS-FILE-004-P0246	OR-0246	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0247	DRI internal read machinery	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-005	BDOS-FILE-005-P0247	OR-0247	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0248	Function 22 convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0248	OR-0248	A FAIL defeats baseline certification; BLOCKED prevents certification.
0249	Make uniqueness precondition	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0249	OR-0249	A FAIL defeats baseline certification; BLOCKED prevents certification.
0250	New empty file	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0250	OR-0250	A FAIL defeats baseline certification; BLOCKED prevents certification.
0251	Make activates FCB	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0251	OR-0251	A FAIL defeats baseline certification; BLOCKED prevents certification.
0252	Make success result	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0252	OR-0252	A FAIL defeats baseline certification; BLOCKED prevents certification.
0253	Make directory-full result	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0253	OR-0253	A FAIL defeats baseline certification; BLOCKED prevents certification.
0254	Immediate empty-file visibility	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0254	OR-0254	A FAIL defeats baseline certification; BLOCKED prevents certification.
0255	Data-full empty Make	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0255	OR-0255	A FAIL defeats baseline certification; BLOCKED prevents certification.
0256	Make on existing name	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0256	OR-0256	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0257	Ambiguous Make name	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0257	OR-0257	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0258	Immediate data-block reservation	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-011	BDOS-FILE-011-P0258	OR-0258	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0259	Function 21 convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0259	OR-0259	A FAIL defeats baseline certification; BLOCKED prevents certification.
0260	Write activation precondition	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0260	OR-0260	A FAIL defeats baseline certification; BLOCKED prevents certification.
0261	Write source position	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0261	OR-0261	A FAIL defeats baseline certification; BLOCKED prevents certification.
0262	Successful write result	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0262	OR-0262	A FAIL defeats baseline certification; BLOCKED prevents certification.
0263	Write transfer size	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0263	OR-0263	A FAIL defeats baseline certification; BLOCKED prevents certification.
0264	Current DMA source	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0264	OR-0264	A FAIL defeats baseline certification; BLOCKED prevents certification.
0265	Partial-record length	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0265	OR-0265	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0266	CR advance after write	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0266	OR-0266	A FAIL defeats baseline certification; BLOCKED prevents certification.
0267	RC extension	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0267	OR-0267	A FAIL defeats baseline certification; BLOCKED prevents certification.
0268	Existing-record overwrite	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0268	OR-0268	A FAIL defeats baseline certification; BLOCKED prevents certification.
0269	On-demand allocation	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0269	OR-0269	A FAIL defeats baseline certification; BLOCKED prevents certification.
0270	Exact allocation choice	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0270	OR-0270	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0271	Automatic write extent transition	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0271	OR-0271	A FAIL defeats baseline certification; BLOCKED prevents certification.
0272	Successful transition state	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0272	OR-0272	A FAIL defeats baseline certification; BLOCKED prevents certification.
0273	Full last record remains successful	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0273	OR-0273	A FAIL defeats baseline certification; BLOCKED prevents certification.
0274	Next-extent failure result	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0274	OR-0274	A FAIL defeats baseline certification; BLOCKED prevents certification.
0275	Allocation-full failure	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0275	OR-0275	A FAIL defeats baseline certification; BLOCKED prevents certification.
0276	Exact write failure codes	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0276	OR-0276	A FAIL defeats baseline certification; BLOCKED prevents certification.
0277	Unactivated write behavior	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0277	OR-0277	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0278	Explicit-drive Make/Write	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0278	OR-0278	A FAIL defeats baseline certification; BLOCKED prevents certification.
0279	Close commits final written metadata	REQUIRED	generic CP/M 2.2 baseline	BDOS-FILE-011	BDOS-FILE-011-P0279	OR-0279	A FAIL defeats baseline certification; BLOCKED prevents certification.
0280	Unclosed final extent	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-002	BDOS-FILE-002-P0280	OR-0280	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0281	Pre-Close directory metadata	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-FILE-005	BDOS-FILE-005-P0281	OR-0281	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0282	Exact close-time update sequence	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-011	BDOS-FILE-011-P0282	OR-0282	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0283	Physical write-error presentation	PROFILE REQUIRED	the Interactive CP/M disk-error profile	BDOS-FILE-002	BDOS-FILE-002-P0283	OR-0283	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0284	DRI private write machinery	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-FILE-006	BDOS-FILE-006-P0284	OR-0284	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
