entry	compatibility_requirement	evidence_source	responsible_boundary	validation_method	classification	responsibility_rule
0125	Function 10 Ctrl-P exclusion and printer-echo toggle	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	BDOS console-service boundary	BDOS-CON-004	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0126	Function 10 post-Ctrl-P echo state	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	BDOS console-service boundary	BDOS-CON-004	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0127	Function 10 seven-bit input masking	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	BDOS console-service boundary	BDOS-CON-004	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0128	Function 10 exact correction-display bytes	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	BDOS console-service boundary	BDOS-CON-004	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0129	Function 10 noninitial Ctrl-C behavior	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	BDOS console-service boundary	BDOS-CON-004	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0130	DRI private function-10 editor organization	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	BDOS console-service boundary	BDOS-CON-004	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0131	DRI function-10 zero common result	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0132	Function 13 selector	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0133	Function 13 read/write reset	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0134	Function 13 selects drive A	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0135	Function 13 restores default DMA	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0136	Function 13 resets login vector	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0137	Function 13 function-specific result	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0138	Function 14 selector	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0139	Function 14 drive numbering	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0140	Function 14 changes current disk	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0141	Function 14 logs selected drive	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0142	Login vector is cumulative	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0143	Standard media-change read-only behavior	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0144	FCB drive code zero uses current disk	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0145	Explicit FCB drive selection	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0146	Explicit FCB selection does not permanently change current disk	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0147	Function 24 login vector result	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0148	Login vector bit mapping	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0149	Login bit meaning	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0150	Function 25 current disk result	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	REQUIRED	Preserve external observation; internal realization remains free
0151	Function 14 invalid-drive result	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0152	Function 13/14 synchronization of page-zero 0004h	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0153	DRI private disk-state implementation	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0154	Unavailable-drive presentation	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics; I052 BDOS-STATE-002	BDOS system/disk-state boundary	BDOS-STATE-002	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0155	Function 13 user-number preservation	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0156	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0157	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0158	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0159	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0160	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0161	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0162	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0163	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0164	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0165	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0166	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0167	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0168	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0169	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0170	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0171	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0172	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0173	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0174	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0175	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0176	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0177	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0178	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0179	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0180	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0181	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	Preserve external observation; internal realization remains free
0182	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0183	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0184	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0185	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0186	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	BDOS file/directory/storage boundary	BDOS-FILE-001,BDOS-FILE-002	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0187	Investigation 008 finding	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0188	Search First call convention	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0189	Search First initial directory scan position	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0190	Search First successful result code	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0191	Search First unsuccessful result code	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0192	Search First DMA record transfer	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0193	Search result entry offset	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0194	Search transfer record layout	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0195	Directory entry user number	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0196	Directory entry FCB field layout	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0197	Search wildcard matching	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0198	Type attribute comparison	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0199	Default-drive FCB search	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0200	Explicit-drive search	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0201	Search First S2 handling	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0202	All-user search wildcard drive	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0203	Search Next call convention	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0204	Search Next continuation semantics	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0205	Search Next result and DMA relationship	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0206	Search Next unsuccessful result code	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0207	Search First restart behavior	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0208	Set DMA Address call convention	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0209	DMA address persistence	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0210	DMA change during search continuation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0211	Directory enumeration order	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0212	Repeat-search ordering stability	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	Preserve external observation; internal realization remains free
0213	Enumeration ordering guarantee limitation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0214	Default-drive continuation limitation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0215	Search continuation state limitation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0216	Failed-search DMA contents	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0217	DRI FFh-path directory copy	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	BDOS file/directory/storage boundary	BDOS-FILE-003,BDOS-STATE-003	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0218	DRI private search implementation	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	NOT REQUIRED	No architecture constraint from private/incidental mechanism
0219	Function 20 call convention	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0220	Activated-FCB precondition	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0221	Sequential position source	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0222	Successful result	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0223	Successful transfer size	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0224	Current DMA destination	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0225	Partial-byte count	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	NOT GUARANTEED	Boundary must tolerate permitted variation; do not expose as promise
0226	Advance after success	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0227	CR progression within an extent	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0228	Full-extent position	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0229	Automatic extent transition	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0230	New-extent first-record state	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0231	Extent working-state replacement	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0232	EOF/no-data result	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0233	Exact EOF code	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0234	Empty-file behavior	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0235	Partial-final-extent EOF	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0236	Exact-boundary EOF	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
0237	Repeated EOF indication	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	BDOS file/directory/storage boundary	BDOS-FILE-004	REQUIRED	Preserve external observation; internal realization remains free
