oracle_id	oracle_version	ledger_entry	oracle_type	oracle	pass_fail_rule	classification	applicability
OR-0141	1.0.0	0141	positive predicate	Verify the corresponding login-vector bit becomes set.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0142	1.0.0	0142	positive predicate	Select multiple drives and verify all remain represented in the login vector.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0143	1.0.0	0143	positive predicate	Apply only where the target environment implements the documented media-change behavior.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0144	1.0.0	0144	positive predicate	Execute a file operation with an FCB drive code of zero after changing current drive.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0145	1.0.0	0145	positive predicate	Verify explicit-drive operations independently from current drive state.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0146	1.0.0	0146	positive predicate	Perform an explicit B-drive operation while A is current and verify restoration of A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0147	1.0.0	0147	positive predicate	Verify HL contains the login-vector value.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0148	1.0.0	0148	positive predicate	Verify representative low and high drive bits.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0149	1.0.0	0149	positive predicate	Verify login state after explicit and implicit drive use.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0150	1.0.0	0150	positive predicate	Compare function 25 against controlled drive selections.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0151	1.0.0	0151	permitted variation	Do not require a specific invalid-drive result.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0152	1.0.0	0152	anti-requirement	Do not require 0004h to track live BDOS drive state.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0153	1.0.0	0153	anti-requirement	Do not test internal state representation.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0154	1.0.0	0154	profile-gated positive	Profile injects absent drive and checks interaction/recovery; baseline requires coherent failure only.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Interactive DRI error profile
OR-0155	1.0.0	0155	positive predicate	Set nonzero user, call Function 13, require the same Function-32 result.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0156	1.0.0	0156	positive predicate	Verify a sequential FCB occupies exactly bytes 0-32.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0157	1.0.0	0157	positive predicate	Verify random-access use adds bytes 33-35 to the sequential FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0158	1.0.0	0158	positive predicate	Test drive byte 0 for current default and values 1-16 for A-P.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0159	1.0.0	0159	positive predicate	Compare filename bytes for uppercase, cleared high bits, and space padding.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0160	1.0.0	0160	positive predicate	Compare type bytes for the documented uppercase file type.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0161	1.0.0	0161	positive predicate	Verify the documented high-bit attributes in type bytes 9-11.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0162	1.0.0	0162	positive predicate	Verify EX is byte 12 and exercise caller initialization and values 0-31.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0163	1.0.0	0163	permitted variation	Do not require any literal application-visible value in reserved S1.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0164	1.0.0	0164	positive predicate	Verify S2 is byte 14 and is supplied as zero on OPEN, MAKE, and SEARCH.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0165	1.0.0	0165	positive predicate	Verify RC is byte 15 and accepts the documented range 0-128.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0166	1.0.0	0166	positive predicate	Verify bytes 16-31 receive CP/M allocation state after activation.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0167	1.0.0	0167	positive predicate	Verify CR is byte 32 and controls sequential record position 0-127.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0168	1.0.0	0168	positive predicate	Invoke function 15 with C=0Fh and DE addressing a controlled FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0169	1.0.0	0169	positive predicate	Open a known existing file for the current user on default and explicit drives.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0170	1.0.0	0170	positive predicate	Open controlled files occupying directory slots 0-3 and verify A=0-3.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0171	1.0.0	0171	positive predicate	Open a nonexistent name and require FFh in A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0172	1.0.0	0172	positive predicate	Open a known file and verify returned FCB state supports subsequent file I/O.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0173	1.0.0	0173	positive predicate	Attempt access only after a successful open and require the documented lifecycle.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0174	1.0.0	0174	positive predicate	Open controlled wildcard names and verify '?' matches corresponding characters.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0175	1.0.0	0175	positive predicate	Open a wildcard matching several files and verify only the first match is activated.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0176	1.0.0	0176	positive predicate	Set CR explicitly before open and verify open does not promise to reset it.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0177	1.0.0	0177	positive predicate	Invoke function 16 with C=10h and DE addressing an activated FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0178	1.0.0	0178	positive predicate	Close after controlled writes, reopen, and verify the new directory state persists.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0179	1.0.0	0179	positive predicate	Read a file without closing it and verify no close is required for persistence.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0180	1.0.0	0180	positive predicate	Close controlled files occupying directory slots 0-3 and verify A=0-3.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0181	1.0.0	0181	positive predicate	Close a dirty FCB whose filename is absent and require FFh in A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0182	1.0.0	0182	permitted variation	Exercise representative disk formats and do not require one application-owned allocation encoding.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0183	1.0.0	0183	permitted variation	Poison/snapshot diagnostically, but assert only documented effects.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0184	1.0.0	0184	anti-requirement	Diagnose DRI high-S2 behavior but do not require that private representation.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0185	1.0.0	0185	anti-requirement	Close an unchanged read-only-use FCB; do not require DRI's exact zero result.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0186	1.0.0	0186	anti-requirement	Test public open/close results without requiring DRI search, copy, or merge internals.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0187	1.0.0	0187	anti-requirement	Do not require host-tool exact-byte-count data stored in reserved S1.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0188	1.0.0	0188	positive predicate	Invoke function 17 with C=11h and DE addressing a controlled search FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0189	1.0.0	0189	positive predicate	Search a controlled directory and verify Search First begins at its first matching position.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0190	1.0.0	0190	positive predicate	Place matches in directory slots 0-3 and verify successful Search First returns A=0-3.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0191	1.0.0	0191	positive predicate	Search for a missing identity and require FFh in A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0192	1.0.0	0192	positive predicate	On successful searches, compare all 128 bytes at the current DMA with the directory record.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0193	1.0.0	0193	positive predicate	For each result 0-3, verify the matching entry begins at DMA+A*32.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0194	1.0.0	0194	positive predicate	Verify each successful DMA record exposes four 32-byte directory entries.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0195	1.0.0	0195	positive predicate	Search across controlled users and verify byte 0 of each returned entry is its user number.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0196	1.0.0	0196	positive predicate	Compare returned bytes 1-31 with the documented directory/FCB field form.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0197	1.0.0	0197	positive predicate	Test '?' independently in filename, type, and extent positions through EX.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0198	1.0.0	0198	positive predicate	Set documented type attribute bits and verify base type matching is unchanged.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0199	1.0.0	0199	positive predicate	With FCB drive 0, change the current default and verify that drive is searched.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0200	1.0.0	0200	positive predicate	Search explicit drives 1-16 and verify the prior current default is restored afterward.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0201	1.0.0	0201	positive predicate	Perform ordinary Search First and verify S2 is automatically zeroed.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0202	1.0.0	0202	positive predicate	Search with dr='?' and verify the current drive is scanned across multiple user numbers.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0203	1.0.0	0203	positive predicate	Invoke function 18 with C=12h and no new documented DE argument.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0204	1.0.0	0204	positive predicate	After Search First, call Search Next and verify scanning resumes after the last match.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0205	1.0.0	0205	positive predicate	For Search Next successes, verify A=0-3 and the same DMA+A*32 relationship.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0206	1.0.0	0206	positive predicate	Continue Search Next through exhaustion and require FFh after the final match.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0207	1.0.0	0207	positive predicate	Start a new Search First during a sequence and verify enumeration restarts and replaces it.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0208	1.0.0	0208	positive predicate	Invoke function 26 with C=1Ah and DE containing a controlled DMA address.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0209	1.0.0	0209	positive predicate	Set an alternate DMA and verify it remains current until a documented set/reset/start transition.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0210	1.0.0	0210	positive predicate	Change DMA between Search First and Search Next; verify continuation and transfer to the new address.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0211	1.0.0	0211	positive predicate	Enumerate a controlled nonalphabetic directory and verify physical/logical scan order.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0212	1.0.0	0212	positive predicate	Repeat enumeration on unchanged directory state and require the same scan sequence.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0213	1.0.0	0213	permitted variation	Do not require alphabetic order or identical order on independently laid-out directories.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0214	1.0.0	0214	permitted variation	Change default drive between default-drive First/Next calls and do not require continuation on the original drive.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0215	1.0.0	0215	permitted variation	Interleave another search or directory/media mutation and do not require preserved continuation.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0216	1.0.0	0216	permitted variation	After an FFh search result, do not treat or require DMA contents as valid result data.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0217	1.0.0	0217	anti-requirement	Observe DRI's FFh-path DMA copy diagnostically but do not require it.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0218	1.0.0	0218	anti-requirement	Test public search results without requiring DRI private buffers, counters, checksums, or search machinery.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0219	1.0.0	0219	positive predicate	Invoke with a known activated FCB and verify that this object controls the read.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0220	1.0.0	0220	positive predicate	Use Function 15 before the ordinary read sequence.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0221	1.0.0	0221	positive predicate	Set up a known open FCB and compare successive markers.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0222	1.0.0	0222	positive predicate	Read an allocated record.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0223	1.0.0	0223	positive predicate	Guard and inspect the complete DMA area.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0224	1.0.0	0224	positive predicate	Move DMA and protect 0080h with a sentinel.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0225	1.0.0	0225	permitted variation	Programs shall derive any byte-level length from file-format content, not Function 20.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0226	1.0.0	0226	positive predicate	Inspect CR and read distinct consecutive markers.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0227	1.0.0	0227	positive predicate	Observe CR=1,2,3 after three reads from CR=0.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0228	1.0.0	0228	positive predicate	Inspect the FCB after the 128th read.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0229	1.0.0	0229	positive predicate	Read records 128 and 129 in consecutive calls.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0230	1.0.0	0230	positive predicate	Inspect EX and CR after record 129.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0231	1.0.0	0231	positive predicate	Verify EX, RC/allocation state, and continued reading.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0232	1.0.0	0232	positive predicate	Read once beyond a controlled file.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0233	1.0.0	0233	permitted variation	Require nonzero EOF and accept any nonzero value not otherwise promised.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0234	1.0.0	0234	positive predicate	Open and read a zero-record file.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0235	1.0.0	0235	positive predicate	Exhaust a two-record final extent.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0236	1.0.0	0236	positive predicate	Exhaust an exact 128-record file.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0237	1.0.0	0237	positive predicate	Issue two reads beyond EOF.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0238	1.0.0	0238	permitted variation	Applications shall inspect DMA only after zero.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0239	1.0.0	0239	positive predicate	Compare the 33 working bytes before and after reads.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0240	1.0.0	0240	permitted variation	Applications shall not require byte-for-byte FCB stability after failure.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0241	1.0.0	0241	anti-requirement	Accept any coherent post-EOF working representation.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0242	1.0.0	0242	positive predicate	Read a B-drive FCB while A remains default.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0243	1.0.0	0243	positive predicate	Open and read a read-only file.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0244	1.0.0	0244	permitted variation	Compatible applications shall not depend on such a call.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0245	1.0.0	0245	permitted variation	Compatible applications shall not synthesize activated working fields.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0246	1.0.0	0246	profile-gated positive	Profile injects read fault and checks prompt, ignore, abort, and recovery; no invented file code.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Interactive CP/M disk-error profile
OR-0247	1.0.0	0247	anti-requirement	Test observable results and FCB state, not internal addresses or routines.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0248	1.0.0	0248	positive predicate	Create a controlled new name.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0249	1.0.0	0249	positive predicate	Baseline tests use an absent exact name.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0250	1.0.0	0250	positive predicate	Search the name and inspect RC=0.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0251	1.0.0	0251	positive predicate	Call Function 21 immediately.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0252	1.0.0	0252	positive predicate	Accept each slot code as success.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0253	1.0.0	0253	positive predicate	Use a 64-entry-full test directory.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0254	1.0.0	0254	positive predicate	Search First immediately after Make.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0255	1.0.0	0255	positive predicate	Make on allocation-full media with a free directory slot.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0256	1.0.0	0256	permitted variation	Compatible programs shall check/delete as appropriate before Make.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0257	1.0.0	0257	permitted variation	Creation names shall be exact and valid.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0258	1.0.0	0258	anti-requirement	Test the zero-record public state, not an internal reservation policy.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0259	1.0.0	0259	positive predicate	Invoke after successful Open or Make.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0260	1.0.0	0260	positive predicate	Ordinary tests never synthesize allocation fields.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0261	1.0.0	0261	positive predicate	Reopen and compare sequential markers.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0262	1.0.0	0262	positive predicate	Write with available space.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0263	1.0.0	0263	positive predicate	Verify all bytes, including record tail.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0264	1.0.0	0264	positive predicate	Alternate DMA and reopen/read.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0265	1.0.0	0265	permitted variation	Applications pad their final logical record.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0266	1.0.0	0266	positive predicate	Observe CR after consecutive writes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0267	1.0.0	0267	positive predicate	Observe RC=1 and RC=3.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0268	1.0.0	0268	positive predicate	Open an existing file at a controlled CR and verify replacement.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0269	1.0.0	0269	positive predicate	First write to a new file and continue reading it.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0270	1.0.0	0270	permitted variation	Validate reachability, not block identity.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0271	1.0.0	0271	positive predicate	Write records 128 and 129 consecutively.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0272	1.0.0	0272	positive predicate	Inspect state and successfully write record 129.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0273	1.0.0	0273	positive predicate	Use a one-slot-left directory.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0274	1.0.0	0274	positive predicate	Attempt record 129 with no directory slot.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0275	1.0.0	0275	positive predicate	First write to an empty made file on allocation-full media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0276	1.0.0	0276	positive predicate	Exhaust directory and allocation separately; require 01h and 02h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0277	1.0.0	0277	permitted variation	Compatible programs shall not make such calls.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0278	1.0.0	0278	positive predicate	Create/write B while Function 25 remains A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0279	1.0.0	0279	positive predicate	Compare directory search before/after Close and reopen.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0280	1.0.0	0280	permitted variation	Omit Close only in a negative test.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0281	1.0.0	0281	permitted variation	Applications shall use their activated FCB and Close, not directory search as a commit test.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0282	1.0.0	0282	anti-requirement	Test final reopened content and documented results.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0283	1.0.0	0283	profile-gated positive	Profile injects pre/post-transfer write faults and checks operator path without rollback assumptions.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Interactive CP/M disk-error profile
