ledger_entry	case_id	case_version	oracle_id	oracle_version	parent_test_id	executable	module_case	requirement	classification	applicability	rc1_dependencies	selected_profile_ids	safety_class	required_fixture	implementation_status	proposed_reuse
0157	BDOS-FILE-001-P0157	1.0.0	OR-0157	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-002	A random-access FCB adds random-record bytes 33-35.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0158	BDOS-FILE-002-P0158	1.0.0	OR-0158	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-003	FCB byte 0 uses 0 for current default and 1-16 for explicit A-P selection.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0159	BDOS-FILE-001-P0159	1.0.0	OR-0159	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-004	FCB bytes 1-8 contain an uppercase, high-bit-clear, blank-padded filename.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0160	BDOS-FILE-002-P0160	1.0.0	OR-0160	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-005	FCB bytes 9-11 contain the uppercase file type.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0161	BDOS-FILE-001-P0161	1.0.0	OR-0161	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-006	High bits of type bytes 9-11 carry the documented read-only, system, and reserved attributes.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0162	BDOS-FILE-002-P0162	1.0.0	OR-0162	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-007	FCB byte 12 is current extent, normally caller-initialized to zero and ranging 0-31 during I/O.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0163	BDOS-FILE-001-P0163	1.0.0	OR-0163	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-008	FCB byte 13 is reserved for system use; applications have no portable literal-content guarantee.	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0164	BDOS-FILE-002-P0164	1.0.0	OR-0164	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-009	FCB byte 14 is reserved for system use and supplied as zero on OPEN, MAKE, and SEARCH calls.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0165	BDOS-FILE-001-P0165	1.0.0	OR-0165	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-010	FCB byte 15 holds extent record count in the range 0-128.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0166	BDOS-FILE-002-P0166	1.0.0	OR-0166	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-011	FCB bytes 16-31 hold CP/M-supplied allocation state reserved for system use.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0167	BDOS-FILE-001-P0167	1.0.0	OR-0167	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-012	FCB byte 32 holds the sequential current record 0-127 and is normally initialized by the caller.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0168	BDOS-FILE-002-P0168	1.0.0	OR-0168	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-013	Function 15 is selected by C=0Fh and takes the FCB address in DE.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0169	BDOS-FILE-001-P0169	1.0.0	OR-0169	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-014	Function 15 opens an existing file for the current user on the FCB-selected drive.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0170	BDOS-FILE-002-P0170	1.0.0	OR-0170	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-015	Successful function 15 returns a directory code 0-3 in A.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0171	BDOS-FILE-001-P0171	1.0.0	OR-0171	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-016	Function 15 returns FFh in A when no matching file exists.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0172	BDOS-FILE-002-P0172	1.0.0	OR-0172	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-017	Successful open supplies directory/allocation information in the FCB for later file I/O.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0173	BDOS-FILE-001-P0173	1.0.0	OR-0173	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-018	Existing files must be successfully opened before read/write access.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0174	BDOS-FILE-002-P0174	1.0.0	OR-0174	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-019	? wildcards in open identity fields match corresponding directory characters.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0175	BDOS-FILE-001-P0175	1.0.0	OR-0175	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-020	Wildcard open activates the first matching FCB rather than enumerating all matches.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0176	BDOS-FILE-002-P0176	1.0.0	OR-0176	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-021	For sequential access from the beginning, the caller sets CR to zero; open need not do so.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0177	BDOS-FILE-001-P0177	1.0.0	OR-0177	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-022	Function 16 is selected by C=10h and takes an activated FCB address in DE.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0178	BDOS-FILE-002-P0178	1.0.0	OR-0178	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-023	Close after writes permanently records compatible new FCB directory information.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0179	BDOS-FILE-001-P0179	1.0.0	OR-0179	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-024	A file used only for reads need not be closed.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0180	BDOS-FILE-002-P0180	1.0.0	OR-0180	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-025	Successful close returns a directory code 0-3 in A.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0181	BDOS-FILE-001-P0181	1.0.0	OR-0181	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-026	Close returns FFh when the FCB filename cannot be found.	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0182	BDOS-FILE-002-P0182	1.0.0	OR-0182	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-027	FCB allocation-map representation is disk-format-dependent and has no universal application-owned encoding.	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0183	BDOS-FILE-001-P0183	1.0.0	OR-0183	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-028	Exact FCB bytes after failed Open, except for separately documented effects, are not guaranteed. Policy resolution: The exact behavior described above is not guaranteed by generic BetterCP/M CP/M 2.2 compatibility. Portable software shall not depend on it.	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0184	BDOS-FILE-002-P0184	1.0.0	OR-0184	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-029	DRI's high-S2 no-write/dirty flag representation is private.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0185	BDOS-FILE-001-P0185	1.0.0	OR-0185	1.0.0	BDOS-FILE-001	FILETEST.COM	FIL-030	DRI's exact zero result for unnecessary close after read-only access is not required.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0186	BDOS-FILE-002-P0186	1.0.0	OR-0186	1.0.0	BDOS-FILE-002	FILETEST.COM	FIL-031	DRI's internal open-copy order, search variables, and close map-merge algorithm are private.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0187	BDOS-STATE-003-P0187	1.0.0	OR-0187	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-042	Host-tool exact-byte-count data placed in reserved S1 is not a CP/M 2.2 requirement.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0188	BDOS-STATE-003-P0188	1.0.0	OR-0188	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-043	Search First call convention	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0189	BDOS-STATE-003-P0189	1.0.0	OR-0189	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-044	Search First initial directory scan position	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0190	BDOS-STATE-003-P0190	1.0.0	OR-0190	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-045	Search First successful result code	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0191	BDOS-STATE-003-P0191	1.0.0	OR-0191	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-046	Search First unsuccessful result code	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0192	BDOS-STATE-003-P0192	1.0.0	OR-0192	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-047	Search First DMA record transfer	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0193	BDOS-STATE-003-P0193	1.0.0	OR-0193	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-048	Search result entry offset	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0194	BDOS-STATE-003-P0194	1.0.0	OR-0194	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-049	Search transfer record layout	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0195	BDOS-STATE-003-P0195	1.0.0	OR-0195	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-050	Directory entry user number	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0196	BDOS-FILE-003-P0196	1.0.0	OR-0196	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-001	Directory entry FCB field layout	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0197	BDOS-STATE-003-P0197	1.0.0	OR-0197	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-051	Search wildcard matching	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0198	BDOS-FILE-003-P0198	1.0.0	OR-0198	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-002	Type attribute comparison	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0199	BDOS-STATE-003-P0199	1.0.0	OR-0199	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-052	Default-drive FCB search	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0200	BDOS-FILE-003-P0200	1.0.0	OR-0200	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-003	Explicit-drive search	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0201	BDOS-STATE-003-P0201	1.0.0	OR-0201	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-053	Search First S2 handling	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0202	BDOS-FILE-003-P0202	1.0.0	OR-0202	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-004	All-user search wildcard drive	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0203	BDOS-STATE-003-P0203	1.0.0	OR-0203	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-054	Search Next call convention	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0204	BDOS-FILE-003-P0204	1.0.0	OR-0204	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-005	Search Next continuation semantics	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0205	BDOS-STATE-003-P0205	1.0.0	OR-0205	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-055	Search Next result and DMA relationship	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0206	BDOS-FILE-003-P0206	1.0.0	OR-0206	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-006	Search Next unsuccessful result code	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0207	BDOS-STATE-003-P0207	1.0.0	OR-0207	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-056	Search First restart behavior	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0208	BDOS-FILE-003-P0208	1.0.0	OR-0208	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-007	Set DMA Address call convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0209	BDOS-STATE-003-P0209	1.0.0	OR-0209	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-057	DMA address persistence	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0210	BDOS-FILE-003-P0210	1.0.0	OR-0210	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-008	DMA change during search continuation	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0211	BDOS-STATE-003-P0211	1.0.0	OR-0211	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-058	Directory enumeration order	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0212	BDOS-FILE-003-P0212	1.0.0	OR-0212	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-009	Repeat-search ordering stability	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0213	BDOS-STATE-003-P0213	1.0.0	OR-0213	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-059	Enumeration ordering guarantee limitation	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0214	BDOS-FILE-003-P0214	1.0.0	OR-0214	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-010	Default-drive continuation limitation	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0215	BDOS-STATE-003-P0215	1.0.0	OR-0215	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-060	Search continuation state limitation	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0216	BDOS-FILE-003-P0216	1.0.0	OR-0216	1.0.0	BDOS-FILE-003	DIRTEST.COM	DIR-011	Failed-search DMA contents	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0217	BDOS-STATE-003-P0217	1.0.0	OR-0217	1.0.0	BDOS-STATE-003	BDOSTEST.COM	BDO-061	DRI FFh-path directory copy	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0218	BDOS-FILE-004-P0218	1.0.0	OR-0218	1.0.0	BDOS-FILE-004	FILETEST.COM	FIL-032	DRI private search implementation	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0219	BDOS-FILE-004-P0219	1.0.0	OR-0219	1.0.0	BDOS-FILE-004	FILETEST.COM	FIL-033	Function 20 call convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0220	BDOS-FILE-004-P0220	1.0.0	OR-0220	1.0.0	BDOS-FILE-004	FILETEST.COM	FIL-034	Activated-FCB precondition	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0221	BDOS-FILE-004-P0221	1.0.0	OR-0221	1.0.0	BDOS-FILE-004	FILETEST.COM	FIL-035	Sequential position source	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0222	BDOS-FILE-004-P0222	1.0.0	OR-0222	1.0.0	BDOS-FILE-004	FILETEST.COM	FIL-036	Successful result	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0223	BDOS-FILE-004-P0223	1.0.0	OR-0223	1.0.0	BDOS-FILE-004	FILETEST.COM	FIL-037	Successful transfer size	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
